index,celebid,pid,letter1,letter2,letter3,letter4,letter5,totalvotes
113535,73154,0,E,N,T,P,,3
113536,73169,0,E,S,F,P,,2
113537,73333,0,E,S,F,P,,2
113538,73338,0,E,S,F,J,,2
113539,73346,0,E,N,F,P,,3
113540,73604,0,I,S,T,J,,2
113541,73616,0,I,S,F,J,,2
113542,73804,0,E,S,F,J,,2
113543,73817,0,I,S,T,J,,2
113544,73821,0,I,S,T,J,,4
113545,74324,0,E,S,T,P,,2
113546,74326,0,I,S,T,J,,2
113547,74334,0,I,S,T,J,,2
113548,74337,0,E,S,T,P,,2
113549,74344,0,E,S,F,J,,2
113550,74352,0,E,S,T,J,,2
113551,74645,0,I,S,T,J,,2
113552,75884,0,E,N,T,P,,2
113553,75898,0,E,S,F,J,,2
113554,76273,0,E,S,F,J,,2
113555,77903,0,E,S,T,J,,2
113556,83570,0,I,S,T,J,,2
113557,85869,0,I,S,T,J,,2
113558,86095,0,I,S,T,P,,2
113559,86211,0,E,S,T,J,,2
113560,93329,0,I,S,T,J,,2
113561,95922,0,E,S,T,P,,2
113562,96641,0,E,S,F,P,,2
113563,98625,0,I,N,T,J,,2
113564,102095,0,E,N,F,P,,2
113565,105375,0,E,S,F,J,,3
113566,105378,0,E,S,F,P,,2
113567,105733,0,E,N,F,J,,2
113568,106841,0,I,S,F,J,,2
113569,107352,0,I,N,F,J,,2
113570,111889,0,I,S,T,P,,2
113571,113682,0,I,N,F,J,,2
113572,117463,0,I,S,T,P,,3
113573,121776,0,I,S,F,J,,2
113574,121777,0,I,S,T,J,,2
113575,121933,0,I,S,F,P,,2
113576,124143,0,I,S,T,J,,2
113577,127441,0,E,N,F,P,,2
113578,129205,0,E,S,F,P,,2
113579,143152,0,E,S,T,P,,2
113580,155759,0,E,N,T,J,,2
113581,155760,0,I,N,F,P,,4
113582,158455,0,I,S,F,P,,2
113583,159090,0,E,N,F,P,,4
113584,159912,0,E,S,F,J,,2
113585,160426,0,E,S,T,J,,2
113586,163094,0,E,S,F,P,,3
113587,163374,0,I,S,F,P,,2
113588,166956,0,E,N,F,P,,2
113589,168459,0,E,S,F,P,,2
113590,168528,0,E,S,F,J,,2
113591,172445,0,I,S,F,P,,2
113592,178854,0,I,S,F,J,,3
113593,181356,0,I,S,T,P,,2
113594,181864,0,I,S,F,P,,2
113595,182035,0,I,S,F,J,,2
113596,182442,0,I,S,F,J,,2
113597,182683,0,E,S,F,P,,2
113598,183336,0,E,S,F,J,,2
113599,183896,0,E,S,F,J,,2
113600,184247,0,E,N,T,P,,2
113601,196727,0,I,S,T,J,,2
113602,198805,0,I,N,T,P,,2
113603,200283,0,I,N,T,J,,3
113604,201372,0,I,S,F,J,,2
113605,203598,0,I,S,F,J,,2
113606,208527,0,E,N,T,P,,2
113607,210642,0,E,N,F,P,,2
113608,212573,0,E,S,T,J,,2
113609,218527,0,I,S,F,P,,2
113610,220763,0,E,S,F,J,,3
113611,222255,0,E,S,F,P,,2
113612,223573,0,E,N,F,P,,2
113613,224517,0,I,N,F,P,,2
113614,225831,0,E,N,T,J,,2
113615,232923,0,E,N,F,J,,2
113616,322917,0,E,S,T,P,,2
113617,361938,0,E,S,F,J,,2
113618,370238,0,E,S,T,P,,2
113619,402603,0,I,S,T,J,,2
113620,420035,0,I,S,T,J,,2
113621,420603,0,E,S,F,J,,2
113622,424991,0,I,S,F,P,,2
113623,572428,0,I,S,T,P,,2
113624,609275,0,E,S,F,P,,2
113625,765356,0,E,S,T,J,,2
113626,10145,0,I,S,T,P,,1
113627,57003,0,I,S,F,J,,1
113628,57009,0,I,S,T,J,,2
113629,57639,0,E,S,T,J,,1
113630,62000,0,E,S,T,J,,5
113631,62016,0,E,S,F,J,,1
113632,63321,0,E,S,F,J,,2
113633,64829,0,E,S,T,P,,1
113634,64834,0,E,S,F,P,,1
113635,65082,0,E,S,T,J,,1
113636,65280,0,I,S,T,J,,1
113637,65470,0,E,S,F,P,,1
113638,65846,0,I,S,T,P,,1
113639,65995,0,I,S,T,P,,1
113640,66782,0,E,S,F,P,,1
113641,66950,0,E,S,T,J,,1
113642,67361,0,E,S,T,J,,2
113643,67406,0,E,S,T,J,,1
113644,68411,0,I,S,T,J,,1
113645,68668,0,I,N,T,J,,1
113646,70063,0,I,S,T,J,,1
113647,70065,0,E,S,F,P,,1
113648,70907,0,E,S,F,P,,1
113649,70909,0,I,S,T,J,,1
113650,70910,0,I,S,T,P,,1
113651,70913,0,E,S,T,J,,2
113652,70927,0,I,S,F,P,,1
113653,70928,0,E,S,T,J,,1
113654,70930,0,E,S,T,J,,1
113655,70961,0,E,S,T,J,,1
113656,70981,0,E,S,F,P,,1
113657,71025,0,I,S,T,J,,1
113658,71068,0,I,S,F,J,,2
113659,71076,0,E,S,F,J,,1
113660,71540,0,E,S,F,P,,1
113661,71541,0,I,S,T,J,,1
113662,71994,0,E,S,T,P,,4
113663,72492,0,E,S,F,J,,1
113664,73168,0,I,S,T,J,,1
113665,73230,0,I,S,T,J,,1
113666,73231,0,I,S,T,J,,1
113667,73278,0,I,S,T,J,,1
113668,73334,0,E,S,T,J,,2
113669,73337,0,I,S,T,J,,1
113670,73340,0,I,S,F,J,,1
113671,73348,0,E,S,T,J,,1
113672,73564,0,E,N,F,P,,1
113673,73595,0,E,S,F,P,,1
113674,73713,0,I,S,F,P,,1
113675,73811,0,I,S,T,J,,1
113676,73815,0,I,S,F,J,,1
113677,73819,0,I,S,F,P,,1
113678,74328,0,E,S,F,P,,3
113679,74331,0,I,S,F,P,,1
113680,74332,0,E,S,F,P,,1
113681,74333,0,I,S,F,J,,1
113682,74335,0,I,S,F,J,,1
113683,74336,0,I,S,T,J,,1
113684,74338,0,E,S,T,J,,1
113685,74341,0,E,S,F,J,,1
113686,74485,0,I,S,T,J,,1
113687,77327,0,E,N,F,P,,4
113688,77788,0,I,S,T,J,,1
113689,77946,0,E,S,F,J,,1
113690,80851,0,I,S,T,J,,1
