index,celebid,pid,letter1,letter2,letter3,letter4,letter5,totalvotes
104258,2977,5,I,T,(,S,),1
104259,22592,5,E,N,(,T,),1
104260,2488,5,E,T,(,S,),5
104261,81146,5,E,F,(,N,),2
104262,472,5,E,S,(,F,),5
104263,2921,5,I,T,(,S,),1
104264,3068,5,E,N,(,T,),7
104265,11673,5,E,F,(,N,),3
104266,12333,5,E,T,(,N,),3
104267,24705,5,E,N,(,F,),4
104268,9261,5,E,N,(,F,),5
104269,856,5,E,F,(,N,),3
104270,23477,5,I,N,(,F,),2
104271,19843,5,I,F,(,N,),6
104272,103787,5,E,N,(,T,),4
104273,10131,5,E,T,(,S,),2
104274,40338,5,E,F,(,S,),2
104275,27109,5,E,F,(,N,),6
104276,48978,5,E,N,(,T,),7
104277,22499,5,I,F,(,S,),2
104278,18632,5,E,N,(,T,),3
104279,993,5,E,F,(,S,),3
104280,37571,5,E,N,(,T,),1
104281,14694,5,E,F,(,N,),1
104282,23611,5,I,F,(,S,),3
104283,25838,5,E,N,(,T,),7
104284,15528,5,E,N,(,T,),1
104285,13926,5,E,N,(,F,),1
104286,1018,5,I,T,(,N,),3
104287,3818,5,E,N,(,F,),3
104288,27169,5,E,S,(,F,),1
104289,35121,5,I,F,(,N,),8
104290,242621,5,I,F,(,S,),1
104291,14696,5,E,T,(,N,),3
104292,22625,5,E,S,(,F,),7
104293,16732,5,E,N,(,F,),2
104294,989,5,E,S,(,F,),3
104295,16084,5,E,N,(,F,),6
104296,96848,5,E,S,(,F,),5
104297,13051,5,E,S,(,T,),4
104298,36557,5,E,T,(,N,),3
104299,74072,5,E,N,(,F,),2
104300,41634,5,E,N,(,F,),1
104301,137,5,E,F,(,S,),2
104302,22291,5,I,F,(,N,),1
104303,9109,5,E,S,(,T,),9
104304,12664,5,E,S,(,T,),2
104305,11998,5,E,F,(,S,),5
104306,21565,5,E,S,(,T,),1
104307,20307,5,I,F,(,S,),1
104308,12474,5,E,N,(,F,),2
104309,964,5,E,T,(,N,),5
104310,10153,5,E,F,(,N,),3
104311,19307,5,I,F,(,S,),4
104312,1399,5,E,N,(,F,),4
104313,287677,5,E,F,(,S,),2
104314,20287,5,E,F,(,S,),3
104315,15624,5,I,F,(,S,),2
104316,11816,5,E,F,(,N,),3
104317,23612,5,E,S,(,T,),1
104318,194846,5,I,S,(,F,),5
104319,1037,5,I,T,(,S,),4
104320,22610,5,E,F,(,S,),4
104321,483144,5,E,N,(,F,),3
104322,23651,5,I,T,(,N,),3
104323,981,5,E,N,(,F,),1
104324,1080,5,E,N,(,F,),2
104325,16704,5,E,F,(,S,),2
104326,13087,5,I,N,(,T,),4
104327,23161,5,E,S,(,F,),2
104328,42452,5,I,N,(,F,),1
104329,20951,5,I,T,(,N,),3
104330,129,5,E,F,(,N,),1
104331,33310,5,E,S,(,F,),3
104332,10457,5,E,F,(,N,),1
104333,953,5,I,T,(,N,),4
104334,47821,5,I,S,(,F,),1
104335,74088,5,E,S,(,F,),4
104336,8844,5,E,S,(,F,),5
104337,20427,5,I,F,(,S,),2
104338,1053,5,E,T,(,N,),2
104339,10878,5,E,T,(,S,),1
104340,98731,5,E,S,(,F,),6
104341,19310,5,I,F,(,N,),1
104342,22500,5,E,T,(,N,),2
104343,96165,5,E,S,(,F,),2
104344,3816,5,I,T,(,S,),3
104345,13050,5,E,N,(,F,),2
104346,50368,5,E,N,(,F,),4
104347,1009,5,E,S,(,F,),4
104348,14547,5,E,N,(,T,),2
104349,36639,5,E,F,(,S,),5
104350,22292,5,I,T,(,N,),1
104351,33303,5,E,N,(,T,),1
104352,1022,5,I,N,(,F,),5
104353,9294,5,I,N,(,T,),5
104354,7847,5,I,S,(,T,),1
104355,10032,5,I,F,(,N,),1
104356,20434,5,E,N,(,F,),1
104357,36574,5,E,T,(,S,),1
104358,74066,5,E,N,(,F,),2
104359,10157,5,I,N,(,F,),1
104360,45155,5,E,S,(,T,),1
104361,49116,5,E,T,(,S,),1
104362,11313,5,E,F,(,N,),4
104363,13924,5,E,S,(,F,),2
104364,58338,5,E,F,(,N,),2
104365,75832,5,E,S,(,T,),2
104366,5467,5,I,N,(,F,),2
104367,21284,5,E,N,(,T,),1
104368,28273,5,I,N,(,F,),9
104369,50585,5,E,S,(,F,),3
104370,72040,5,I,T,(,S,),2
104371,105141,5,I,N,(,F,),2
104372,5460,5,I,F,(,S,),2
104373,16261,5,E,N,(,T,),2
104374,80455,5,I,N,(,T,),10
104375,12001,5,E,S,(,F,),1
104376,33323,5,I,F,(,N,),5
104377,4825,5,E,F,(,S,),2
104378,155747,5,E,S,(,T,),1
104379,34022,5,E,F,(,N,),2
104380,1030,5,E,S,(,F,),1
104381,41635,5,E,S,(,T,),3
104382,14937,5,E,N,(,F,),1
104383,22598,5,I,N,(,T,),1
104384,23916,5,I,N,(,T,),3
104385,43585,5,I,F,(,S,),6
104386,3486,5,I,S,(,F,),2
104387,23289,5,E,F,(,S,),1
104388,1586,5,E,F,(,N,),1
104389,15529,5,I,F,(,S,),3
104390,25899,5,E,T,(,S,),5
104391,19924,5,E,S,(,F,),4
104392,38735,5,I,S,(,F,),3
104393,127863,5,I,N,(,F,),1
104394,20364,5,E,N,(,F,),1
104395,215944,5,I,F,(,N,),1
104396,20439,5,E,N,(,T,),1
104397,48640,5,E,F,(,S,),1
104398,56997,5,I,S,(,F,),1
104399,9018,5,I,F,(,S,),6
104400,13915,5,E,N,(,T,),2
104401,20401,5,I,F,(,N,),4
104402,39761,5,E,S,(,F,),1
104403,138905,5,E,N,(,F,),1
104404,171031,5,E,N,(,F,),2
104405,28476,5,E,T,(,N,),2
104406,95281,5,E,N,(,F,),1
104407,567981,5,I,S,(,F,),1
104408,20286,5,E,F,(,S,),4
104409,40348,5,E,F,(,N,),1
104410,36253,5,E,T,(,N,),1
104411,36887,5,I,T,(,S,),3
104412,15798,5,E,S,(,T,),2
104413,25886,5,E,N,(,T,),1
104414,34161,5,I,S,(,T,),1
104415,65030,5,E,F,(,N,),2
104416,19578,5,E,S,(,F,),2
104417,22617,5,E,N,(,F,),3
104418,8842,5,E,S,(,F,),1
104419,10875,5,E,T,(,N,),1
104420,22146,5,E,N,(,T,),2
104421,31772,5,E,F,(,S,),1
104422,351348,5,E,N,(,F,),1
104423,540666,5,I,S,(,F,),6
104424,661164,5,I,F,(,N,),3
104425,16791,5,I,N,(,F,),2
104426,48610,5,E,S,(,T,),4
104427,85665,5,E,N,(,F,),3
104428,112569,5,I,F,(,S,),1
104429,19309,5,I,N,(,F,),4
104430,20284,5,E,T,(,N,),1
104431,22866,5,I,F,(,N,),1
104432,22551,5,E,F,(,N,),2
104433,22614,5,E,F,(,N,),1
104434,34017,5,I,F,(,N,),1
104435,35516,5,E,S,(,F,),1
104436,20423,5,I,N,(,F,),1
104437,26760,5,I,N,(,F,),3
