index,celebid,pid,letter1,letter2,letter3,letter4,letter5,totalvotes
69920,86095,7,s,p,/,s,o,1
69921,86211,7,s,p,/,s,o,1
69922,98625,7,s,p,/,s,o,1
69923,102095,7,s,x,/,s,o,1
69924,105378,7,s,x,/,s,o,1
69925,105733,7,s,x,/,s,o,1
69926,106841,7,s,p,/,s,o,1
69927,111889,7,s,p,/,s,x,1
69928,117463,7,s,p,/,s,x,1
69929,121777,7,s,p,/,s,o,1
69930,127441,7,s,o,/,s,x,1
69931,155759,7,s,p,/,s,o,1
69932,158455,7,s,p,/,s,o,1
69933,159912,7,s,o,/,s,x,1
69934,163374,7,s,x,/,s,o,1
69935,168528,7,s,p,/,s,o,1
69936,172445,7,s,x,/,s,p,1
69937,178854,7,s,p,/,s,o,1
69938,181356,7,s,p,/,s,x,1
69939,181864,7,s,p,/,s,o,1
69940,182035,7,s,o,/,s,x,1
69941,182442,7,s,x,/,s,o,1
69942,182683,7,s,o,/,s,x,1
69943,183336,7,s,p,/,s,o,1
69944,184247,7,s,p,/,s,o,2
69945,196727,7,s,p,/,s,o,1
69946,200283,7,s,p,/,s,o,1
69947,201372,7,s,p,/,s,o,1
69948,208527,7,s,o,/,s,x,1
69949,210642,7,s,o,/,s,x,1
69950,212573,7,s,p,/,s,o,1
69951,218527,7,s,p,/,s,o,1
69952,220763,7,s,o,/,s,p,1
69953,222255,7,s,x,/,s,o,1
69954,223573,7,s,p,/,s,o,1
69955,225831,7,s,p,/,s,o,1
69956,232923,7,s,o,/,s,p,1
69957,322917,7,s,p,/,s,o,1
69958,361938,7,s,o,/,s,p,1
69959,420035,7,s,p,/,s,o,1
69960,424991,7,s,p,/,s,o,1
69961,765356,7,s,x,/,s,o,1
69962,10145,7,s,p,/,s,x,1
69963,57003,7,s,p,/,s,o,1
69964,57009,7,s,p,/,s,o,1
69965,57639,7,s,p,/,s,o,1
69966,62000,7,s,x,/,s,o,2
69967,62016,7,s,o,/,s,p,1
69968,63321,7,s,p,/,s,o,1
69969,64829,7,s,p,/,s,x,1
69970,64834,7,s,o,/,s,x,1
69971,65082,7,s,p,/,s,o,1
69972,65280,7,s,p,/,s,o,1
69973,65470,7,s,x,/,s,o,1
69974,65846,7,s,p,/,s,o,1
69975,65995,7,s,x,/,s,p,1
69976,66950,7,s,p,/,s,o,1
69977,67361,7,s,p,/,s,o,1
69978,67406,7,s,x,/,s,o,1
69979,68411,7,s,p,/,s,x,1
69980,68668,7,s,p,/,s,x,1
69981,70065,7,s,x,/,s,o,1
69982,70907,7,s,o,/,s,x,1
69983,70910,7,s,p,/,s,x,1
69984,70913,7,s,p,/,s,o,1
69985,70927,7,s,p,/,s,o,1
69986,70928,7,s,p,/,s,x,1
69987,70930,7,s,o,/,s,p,1
69988,70961,7,s,p,/,s,o,1
69989,70981,7,s,x,/,s,o,1
69990,71025,7,s,p,/,s,o,1
69991,71076,7,s,p,/,s,o,1
69992,71994,7,s,p,/,s,o,1
69993,72492,7,s,o,/,s,p,1
69994,73231,7,s,p,/,s,o,1
69995,73278,7,s,p,/,s,o,1
69996,73334,7,s,p,/,s,x,1
69997,73348,7,s,p,/,s,x,1
69998,73564,7,s,p,/,s,o,1
69999,74332,7,s,x,/,s,o,1
70000,74338,7,s,p,/,s,x,1
70001,74485,7,s,p,/,s,o,1
70002,77327,7,s,x,/,s,o,1
70003,77788,7,s,p,/,s,o,1
70004,80851,7,s,p,/,s,x,1
70005,87593,7,s,p,/,s,o,1
70006,95999,7,s,o,/,s,x,1
70007,96132,7,s,p,/,s,o,1
70008,98822,7,s,p,/,s,o,1
70009,99049,7,s,p,/,s,o,1
70010,99115,7,s,x,/,s,o,1
70011,101245,7,s,p,/,s,x,1
70012,103713,7,s,p,/,s,o,1
70013,106034,7,s,p,/,s,o,1
70014,106035,7,s,x,/,s,o,1
70015,107335,7,s,p,/,s,x,1
70016,109773,7,s,o,/,s,x,1
70017,109775,7,s,p,/,s,o,1
70018,111553,7,s,o,/,s,x,1
70019,111958,7,s,p,/,s,o,1
70020,114112,7,s,p,/,s,o,1
70021,115426,7,s,o,/,s,x,1
70022,120997,7,s,x,/,s,p,1
70023,121775,7,s,p,/,s,x,1
70024,121784,7,s,x,/,s,p,1
70025,121785,7,s,o,/,s,x,1
70026,124139,7,s,x,/,s,o,1
70027,124501,7,s,p,/,s,o,1
70028,126022,7,s,o,/,s,x,1
70029,126026,7,s,p,/,s,o,1
70030,127234,7,s,p,/,s,x,1
70031,127443,7,s,p,/,s,o,1
70032,128670,7,s,o,/,s,p,1
70033,128987,7,s,p,/,s,o,1
70034,155752,7,s,x,/,s,p,1
70035,155753,7,s,p,/,s,o,1
70036,155758,7,s,p,/,s,o,1
70037,155765,7,s,p,/,s,o,1
70038,155768,7,s,o,/,s,x,1
70039,155771,7,s,o,/,s,x,1
70040,155772,7,s,p,/,s,o,1
70041,156011,7,s,p,/,s,o,1
70042,156014,7,s,p,/,s,x,1
70043,156016,7,s,p,/,s,o,1
70044,156020,7,s,p,/,s,x,1
70045,156440,7,s,p,/,s,x,1
70046,158072,7,s,p,/,s,o,1
70047,158581,7,s,p,/,s,o,1
70048,159612,7,s,p,/,s,o,1
70049,159613,7,s,x,/,s,o,1
70050,159615,7,s,p,/,s,o,1
70051,159926,7,s,p,/,s,o,1
70052,160425,7,s,p,/,s,o,1
70053,160519,7,s,p,/,s,o,1
70054,160913,7,s,p,/,s,o,1
70055,162481,7,s,p,/,s,o,1
70056,162660,7,s,p,/,s,o,1
70057,163034,7,s,p,/,s,o,1
70058,164116,7,s,p,/,s,o,1
70059,164117,7,s,x,/,s,o,1
70060,168506,7,s,p,/,s,x,1
70061,168531,7,s,p,/,s,x,1
70062,169421,7,s,o,/,s,p,1
70063,169688,7,s,o,/,s,x,1
70064,171957,7,s,p,/,s,o,1
70065,172450,7,s,o,/,s,x,1
70066,172461,7,s,p,/,s,x,1
70067,174730,7,s,p,/,s,x,1
70068,175792,7,s,p,/,s,o,1
70069,177214,7,s,p,/,s,x,1
70070,177217,7,s,p,/,s,o,1
70071,177465,7,s,p,/,s,x,1
70072,177984,7,s,p,/,s,o,1
70073,178024,7,s,p,/,s,x,1
70074,178486,7,s,p,/,s,o,1
70075,178501,7,s,p,/,s,o,1
70076,178502,7,s,x,/,s,p,1
70077,178506,7,s,p,/,s,o,1
70078,180238,7,s,o,/,s,x,1
70079,180282,7,s,o,/,s,x,1
70080,181261,7,s,x,/,s,o,1
70081,181759,7,s,o,/,s,p,1
70082,182041,7,s,p,/,s,o,1
70083,182688,7,s,p,/,s,o,1
70084,183327,7,s,p,/,s,o,1
70085,183679,7,s,p,/,s,x,1
70086,183756,7,s,p,/,s,o,1
70087,183758,7,s,p,/,s,x,1
70088,184266,7,s,p,/,s,o,1
70089,184334,7,s,p,/,s,x,1
70090,184553,7,s,x,/,s,o,1
70091,186687,7,s,o,/,s,x,1
70092,188307,7,s,p,/,s,o,1
70093,190522,7,s,p,/,s,o,1
70094,190716,7,s,p,/,s,o,1
70095,191474,7,s,o,/,s,p,1
70096,191500,7,s,p,/,s,o,1
70097,192193,7,s,p,/,s,o,1
70098,193097,7,s,p,/,s,o,1
70099,194713,7,s,p,/,s,o,1
70100,194758,7,s,o,/,s,p,1
70101,195726,7,s,p,/,s,o,1
70102,199316,7,s,p,/,s,o,1
70103,199970,7,s,p,/,s,o,1
70104,200894,7,s,p,/,s,o,1
70105,201005,7,s,p,/,s,x,1
70106,201006,7,s,x,/,s,p,1
70107,201007,7,s,p,/,s,o,1
70108,201367,7,s,p,/,s,o,1
70109,201390,7,s,o,/,s,p,1
70110,202867,7,s,o,/,s,x,1
70111,205834,7,s,x,/,s,p,1
70112,206746,7,s,p,/,s,o,1
70113,207946,7,s,p,/,s,x,1
70114,207949,7,s,x,/,s,p,1
70115,208029,7,s,p,/,s,o,1
70116,208264,7,s,p,/,s,o,1
70117,208338,7,s,p,/,s,o,1
70118,210647,7,s,p,/,s,o,1
70119,210928,7,s,x,/,s,p,1
70120,210929,7,s,p,/,s,x,1
70121,210939,7,s,p,/,s,o,1
70122,211076,7,s,p,/,s,x,1
70123,211077,7,s,x,/,s,o,1
70124,216906,7,s,o,/,s,p,1
70125,216971,7,s,p,/,s,o,1
70126,216978,7,s,p,/,s,o,1
70127,217008,7,s,p,/,s,o,1
70128,217320,7,s,p,/,s,o,1
70129,218529,7,s,o,/,s,p,1
70130,218546,7,s,p,/,s,o,1
70131,219292,7,s,p,/,s,o,1
70132,221759,7,s,x,/,s,p,1
70133,221767,7,s,p,/,s,o,1
70134,223583,7,s,o,/,s,p,1
70135,223584,7,s,p,/,s,o,1
70136,223590,7,s,x,/,s,o,1
70137,223821,7,s,p,/,s,o,1
70138,224361,7,s,p,/,s,o,1
70139,224367,7,s,x,/,s,o,1
70140,224390,7,s,x,/,s,p,1
70141,224410,7,s,p,/,s,x,1
70142,224499,7,s,p,/,s,x,1
70143,224510,7,s,p,/,s,o,1
70144,224532,7,s,p,/,s,x,1
70145,224578,7,s,p,/,s,x,1
70146,224589,7,s,o,/,s,p,1
70147,224813,7,s,p,/,s,x,1
70148,225045,7,s,x,/,s,o,1
70149,225784,7,s,p,/,s,o,1
70150,226589,7,s,p,/,s,o,1
70151,227141,7,s,p,/,s,x,1
70152,227251,7,s,o,/,s,x,1
70153,227305,7,s,p,/,s,o,1
70154,227618,7,s,p,/,s,o,1
70155,227650,7,s,p,/,s,x,1
70156,229984,7,s,p,/,s,o,1
70157,230004,7,s,p,/,s,x,1
70158,230203,7,s,o,/,s,x,1
70159,230207,7,s,p,/,s,o,1
70160,230585,7,s,p,/,s,x,1
70161,230923,7,s,p,/,s,o,1
70162,232398,7,s,p,/,s,o,1
70163,233093,7,s,p,/,s,o,1
70164,233099,7,s,o,/,s,p,1
70165,233267,7,s,p,/,s,x,1
70166,233375,7,s,p,/,s,o,1
70167,233452,7,s,x,/,s,p,1
70168,233992,7,s,x,/,s,p,1
70169,233993,7,s,p,/,s,x,1
70170,237163,7,s,p,/,s,o,1
70171,237173,7,s,p,/,s,o,1
70172,237764,7,s,p,/,s,o,1
70173,246702,7,s,o,/,s,x,1
70174,253496,7,s,p,/,s,o,1
70175,267978,7,s,p,/,s,o,1
70176,271726,7,s,p,/,s,x,1
70177,278068,7,s,p,/,s,o,1
70178,357602,7,s,p,/,s,o,1
70179,357605,7,s,x,/,s,p,1
70180,380877,7,s,o,/,s,p,1
70181,410345,7,s,x,/,s,o,1
70182,411519,7,s,p,/,s,x,1
70183,419389,7,s,p,/,s,x,1
70184,420639,7,s,p,/,s,o,1
70185,420680,7,s,p,/,s,o,1
70186,420681,7,s,p,/,s,o,1
70187,420682,7,s,x,/,s,p,1
70188,424633,7,s,p,/,s,x,1
70189,471399,7,s,p,/,s,o,1
70190,474258,7,s,p,/,s,x,1
70191,449,7,s,o,/,s,x,529
70192,70,7,s,o,/,s,p,207
70193,2304,7,s,o,/,s,p,132
70194,330,7,s,o,/,s,p,71
70195,312,7,s,o,/,s,x,53
70196,71,7,s,o,/,s,p,33
70197,343,7,s,p,/,s,o,34
70198,345,7,s,p,/,s,o,59
70199,315,7,s,o,/,s,p,42
70200,321,7,s,x,/,s,o,54
70201,74,7,s,o,/,s,x,46
70202,72,7,s,o,/,s,x,42
70203,75,7,s,p,/,s,o,22
70204,311,7,s,o,/,s,p,23
70205,77,7,s,o,/,s,p,38
70206,73,7,s,o,/,s,x,10
70207,319,7,s,o,/,s,x,21
70208,344,7,s,p,/,s,x,28
70209,339,7,s,x,/,s,o,23
70210,313,7,s,o,/,s,p,11
70211,314,7,s,o,/,s,p,11
70212,342,7,s,p,/,s,o,16
70213,317,7,s,o,/,s,p,14
70214,340,7,s,o,/,s,p,10
70215,328,7,s,p,/,s,x,19
70216,76,7,s,o,/,s,x,5
70217,335,7,s,p,/,s,o,12
70218,318,7,s,p,/,s,x,5
70219,316,7,s,p,/,s,o,4
70220,320,7,s,o,/,s,x,5
70221,341,7,s,o,/,s,p,5
70222,336,7,s,o,/,s,p,6
70223,329,7,s,p,/,s,o,4
70224,323,7,s,o,/,s,p,6
70225,326,7,s,o,/,s,x,6
70226,338,7,s,p,/,s,o,3
70227,331,7,s,p,/,s,o,5
70228,334,7,s,o,/,s,p,4
70229,327,7,s,o,/,s,x,4
70230,322,7,s,o,/,s,x,8
70231,324,7,s,p,/,s,o,3
70232,337,7,s,o,/,s,p,4
70233,325,7,s,p,/,s,o,3
70234,332,7,s,x,/,s,o,3
70235,333,7,s,x,/,s,p,3
70236,10291,7,s,p,/,s,o,215
70237,608,7,s,p,/,s,x,180
70238,288397,7,s,p,/,s,o,230
70239,155318,7,s,o,/,s,x,255
70240,43014,7,s,o,/,s,x,66
70241,965,7,s,o,/,s,x,74
70242,16722,7,s,o,/,s,x,141
70243,970,7,s,x,/,s,o,92
70244,151,7,s,p,/,s,x,69
70245,97,7,s,o,/,s,x,88
70246,14643,7,s,x,/,s,p,136
70247,20191,7,s,x,/,s,o,43
70248,108,7,s,p,/,s,o,98
70249,3820,7,s,o,/,s,x,91
70250,43105,7,s,o,/,s,p,49
70251,19314,7,s,p,/,s,o,60
70252,1740,7,s,p,/,s,x,89
70253,1001,7,s,x,/,s,p,121
70254,1861,7,s,o,/,s,x,89
70255,1006,7,s,o,/,s,x,63
70256,1746,7,s,x,/,s,p,123
70257,9726,7,s,p,/,s,x,62
70258,96,7,s,o,/,s,x,81
70259,10686,7,s,o,/,s,p,74
70260,567786,7,s,o,/,s,p,52
70261,971,7,s,o,/,s,x,70
70262,978,7,s,o,/,s,x,67
70263,52937,7,s,x,/,s,o,72
70264,20289,7,s,x,/,s,p,71
70265,923,7,s,p,/,s,o,40
70266,52942,7,s,p,/,s,x,50
70267,16694,7,s,x,/,s,p,58
70268,135,7,s,p,/,s,o,70
70269,6473,7,s,p,/,s,x,74
70270,27346,7,s,p,/,s,o,34
70271,4778,7,s,x,/,s,p,69
70272,3226,7,s,o,/,s,p,34
70273,969,7,s,p,/,s,x,30
70274,463,7,s,p,/,s,x,67
70275,1048,7,s,p,/,s,x,46
70276,16990,7,s,x,/,s,o,43
70277,9260,7,s,x,/,s,p,51
70278,452,7,s,o,/,s,x,66
70279,130,7,s,x,/,s,p,32
70280,29749,7,s,p,/,s,x,54
70281,3821,7,s,o,/,s,x,35
70282,988,7,s,o,/,s,x,40
70283,1370,7,s,p,/,s,o,37
70284,16085,7,s,o,/,s,x,38
70285,13807,7,s,o,/,s,p,29
70286,8841,7,s,p,/,s,x,31
70287,3110,7,s,o,/,s,x,33
70288,22723,7,s,x,/,s,o,53
70289,1755,7,s,p,/,s,x,33
70290,17508,7,s,p,/,s,o,46
70291,980,7,s,o,/,s,p,22
70292,24993,7,s,p,/,s,o,68
70293,11070,7,s,o,/,s,x,28
70294,434,7,s,p,/,s,x,41
70295,23910,7,s,o,/,s,x,46
70296,16717,7,s,x,/,s,p,23
70297,589,7,s,p,/,s,x,20
70298,461,7,s,o,/,s,p,13
70299,35388,7,s,o,/,s,p,33
70300,20202,7,s,x,/,s,o,59
70301,9737,7,s,x,/,s,o,28
70302,20266,7,s,p,/,s,x,31
70303,16157,7,s,o,/,s,x,21
70304,25515,7,s,p,/,s,o,15
70305,42879,7,s,x,/,s,o,53
70306,16695,7,s,p,/,s,x,23
70307,1042,7,s,x,/,s,o,26
70308,2712,7,s,x,/,s,o,19
