11742,31023,4,R,C,O,E,N,5
11743,25299,4,S,C,O,E,I,3
11744,40744,4,R,C,U,E,I,2
11745,87393,4,R,C,O,E,I,6
11746,10139,4,S,C,O,E,N,2
11747,378,4,R,C,U,E,N,1
11748,10143,4,R,C,O,E,I,1
11749,65862,4,R,C,U,E,I,1
11750,23258,4,R,C,O,A,N,2
11751,20047,4,S,C,U,A,I,2
11752,71677,4,R,C,O,A,N,2
11753,10140,4,S,C,O,E,I,1
11754,63315,4,S,L,U,E,I,1
11755,95998,4,R,C,O,A,N,1
11756,206718,4,S,C,O,A,I,1
11757,63320,4,S,C,U,A,I,1
11758,424991,4,S,L,U,A,N,1
11759,474258,4,R,L,O,E,N,1
11760,449,4,S,L,U,E,N,228
11761,70,4,S,C,O,A,I,106
11762,2304,4,S,C,O,A,N,61
11763,330,4,R,C,O,A,I,58
11764,312,4,S,C,U,E,I,20
11765,71,4,S,L,U,E,N,18
11766,343,4,R,L,O,A,I,15
11767,345,4,R,C,O,A,N,31
11768,315,4,S,C,U,E,N,26
11769,321,4,S,C,O,E,I,26
11770,74,4,S,C,U,E,N,35
11771,72,4,S,L,U,E,I,20
11772,75,4,R,C,O,A,I,21
11773,311,4,S,L,O,E,N,17
11774,77,4,R,L,O,E,N,20
11775,73,4,R,L,O,A,N,8
11776,319,4,R,L,O,E,I,9
11777,344,4,R,L,O,E,I,13
11778,339,4,S,L,U,E,N,10
11779,313,4,S,C,O,A,N,13
11780,314,4,S,L,O,E,N,11
11781,342,4,R,C,O,A,I,8
11782,317,4,R,L,O,E,N,9
11783,340,4,R,L,O,E,I,7
11784,328,4,S,C,O,A,I,8
11785,76,4,S,C,O,A,N,3
11786,335,4,R,C,O,E,I,2
11787,318,4,R,C,O,A,I,2
11788,316,4,R,L,O,E,N,5
11789,320,4,S,C,O,A,N,1
11790,341,4,R,L,U,A,I,1
11791,329,4,R,L,O,E,N,2
11792,323,4,R,C,O,A,N,2
11793,322,4,S,C,O,A,N,4
11794,333,4,R,C,O,A,N,1
11795,10291,4,R,C,O,A,I,109
11796,608,4,R,C,U,A,I,73
11797,288397,4,R,C,O,A,I,136
11798,155318,4,S,L,O,A,I,134
11799,43014,4,S,C,U,A,N,29
11800,965,4,R,L,O,A,I,43
11801,16722,4,S,C,U,A,I,42
11802,970,4,S,C,U,A,I,37
11803,151,4,S,C,U,E,I,39
11804,97,4,S,L,O,A,I,47
11805,14643,4,S,L,U,E,N,75
11806,20191,4,R,C,O,E,I,13
11807,108,4,R,C,O,E,I,46
11808,3820,4,R,C,U,E,I,25
11809,43105,4,S,C,O,E,I,19
11810,19314,4,R,C,O,A,I,35
11811,1740,4,R,C,U,E,I,37
11812,1001,4,S,L,U,E,I,51
11813,1861,4,S,C,O,A,N,44
11814,1006,4,S,L,O,A,N,38
11815,1746,4,R,C,U,E,I,46
11816,9726,4,R,L,U,E,I,46
11817,96,4,S,L,O,E,N,56
11818,10686,4,S,L,O,A,I,36
11819,567786,4,R,L,O,A,I,19
11820,971,4,S,L,O,A,I,27
11821,978,4,S,L,U,A,I,28
11822,52937,4,S,L,O,A,I,25
11823,20289,4,R,L,O,E,I,21
11824,923,4,S,C,O,A,I,17
11825,52942,4,R,C,O,A,I,20
11826,16694,4,S,C,U,E,I,14
11827,135,4,R,C,O,E,I,29
11828,6473,4,R,L,U,A,I,46
11829,27346,4,R,L,U,A,I,15
11830,4778,4,R,C,U,A,I,37
11831,3226,4,S,L,U,A,I,18
11832,969,4,R,C,O,A,N,24
11833,463,4,R,C,U,E,N,25
11834,1048,4,R,C,U,A,N,20
11835,16990,4,S,L,U,A,I,32
11836,9260,4,R,C,U,A,I,9
11837,452,4,S,L,U,A,I,23
11838,130,4,S,L,U,E,I,23
11839,29749,4,S,L,O,A,I,26
11840,3821,4,S,C,U,A,I,13
11841,988,4,S,C,O,A,I,19
11842,1370,4,R,L,U,E,I,18
11843,16085,4,S,C,U,A,I,13
11844,13807,4,R,C,U,E,I,24
11845,8841,4,S,L,U,A,I,7
11846,3110,4,S,C,U,A,I,11
11847,22723,4,S,L,U,A,I,20
11848,1755,4,S,C,O,A,I,20
11849,17508,4,R,L,O,A,I,20
11850,980,4,S,C,O,A,I,17
11851,24993,4,R,L,U,A,I,26
11852,11070,4,S,C,U,A,I,15
11853,434,4,R,C,U,E,N,20
11854,23910,4,S,C,U,A,I,13
11855,16717,4,R,C,O,A,I,10
11856,589,4,S,C,O,A,I,12
11857,461,4,R,C,U,A,I,10
11858,35388,4,S,C,O,E,I,16
11859,20202,4,S,L,U,E,I,25
11860,9737,4,S,C,U,A,N,9
11861,20266,4,R,C,O,A,I,10
11862,16157,4,S,C,U,A,I,9
11863,25515,4,R,C,O,A,I,3
11864,42879,4,S,L,U,A,I,15
11865,16695,4,R,L,U,A,N,11
11866,1042,4,S,C,U,E,I,8
11867,2712,4,S,C,U,A,I,7
11868,779,4,S,L,U,A,N,14
11869,16123,4,S,C,U,A,I,7
11870,922,4,R,C,U,A,N,9
11871,1745,4,S,C,U,A,I,18
11872,19921,4,S,C,U,A,N,2
11873,470,4,S,C,O,A,I,6
11874,12439,4,S,C,U,A,I,11
11875,1017,4,R,C,O,E,I,11
11876,1766,4,R,C,O,E,N,25
11877,2529,4,S,C,U,E,I,11
11878,3550,4,R,L,U,E,I,15
11879,6935,4,S,C,U,A,I,10
11880,16125,4,S,C,U,A,I,8
11881,29442,4,S,L,U,A,I,11
11882,25330,4,S,C,O,A,N,14
11883,8618,4,S,C,U,A,N,7
11884,28470,4,R,L,U,E,I,15
11885,610,4,S,C,U,E,N,16
11886,8005,4,S,C,U,A,I,8
11887,16149,4,S,L,U,E,I,3
11888,1035,4,R,C,O,A,I,4
11889,960,4,R,L,U,A,I,20
11890,4170,4,R,C,U,A,I,12
11891,2704,4,S,C,U,E,I,11
11892,10455,4,S,C,U,A,I,13
11893,11599,4,S,C,O,A,N,2
11894,6491,4,S,C,O,E,I,13
11895,8620,4,S,L,O,E,N,7
11896,1371,4,R,C,U,E,I,8
11897,20366,4,S,C,U,A,I,5
11898,21187,4,S,C,O,A,N,4
11899,133,4,S,C,U,A,N,12
11900,5941,4,S,C,O,A,I,6
11901,1028,4,S,C,O,A,N,15
11902,4945,4,S,L,U,A,I,7
11903,39109,4,R,C,O,A,I,13
11904,25479,4,S,L,U,E,I,6
11905,8847,4,S,C,U,E,I,10
11906,42827,4,R,C,U,A,I,9
11907,967,4,S,C,O,E,I,6
11908,136,4,S,L,U,A,I,6
11909,13086,4,R,L,O,E,I,6
11910,16693,4,S,C,O,A,N,8
11911,2099,4,S,C,U,E,I,5
11912,10867,4,R,C,O,A,N,5
11913,9852,4,R,L,O,A,I,6
11914,127219,4,S,C,U,A,N,8
11915,1026,4,R,C,O,A,N,6
11916,3135,4,R,L,U,A,N,10
11917,11033,4,S,L,U,E,I,2
11918,16710,4,S,C,O,A,N,10
11919,1054,4,S,C,O,A,I,7
11920,12473,4,S,C,U,A,I,8
11921,1052,4,S,C,U,A,I,9
11922,2309,4,S,C,O,A,I,7
11923,8815,4,S,C,U,A,I,8
11924,33143,4,S,L,U,E,N,7
11925,793,4,R,C,U,A,I,8
11926,2977,4,R,C,U,E,I,16
11927,22592,4,S,C,U,E,I,5
11928,2488,4,R,L,O,E,N,8
11929,81146,4,S,C,O,A,N,1
11930,472,4,S,L,U,A,N,9
11931,2921,4,R,C,U,A,N,5
11932,20952,4,S,L,U,E,I,6
11933,30285,4,S,C,U,A,I,11
11934,3068,4,S,L,U,E,N,11
11935,11673,4,S,C,O,A,I,10
11936,12333,4,R,L,O,A,I,3
11937,24705,4,S,L,U,E,I,5
11938,9261,4,S,C,O,A,I,15
11939,856,4,S,L,O,E,I,13
11940,23477,4,R,C,O,A,I,6
11941,19843,4,R,C,O,A,I,9
11942,103787,4,S,C,U,E,I,3
11943,10131,4,S,C,O,E,I,10
11944,40338,4,S,L,O,E,I,6
11945,27109,4,S,C,O,A,I,11
11946,48978,4,S,L,U,A,I,10
11947,22499,4,S,C,U,A,I,5
11948,18632,4,S,C,U,A,I,18
11949,993,4,S,C,O,A,N,2
11950,2303,4,S,C,U,A,I,5
11951,37571,4,S,L,O,A,N,1
11952,14694,4,S,C,O,A,I,6
11953,23611,4,R,C,U,A,I,8
11954,25838,4,R,C,U,A,I,6
11955,15528,4,S,C,U,A,I,5
11956,13926,4,S,C,U,A,I,2
11957,1018,4,R,C,O,A,I,7
11958,3818,4,S,C,U,E,I,3
11959,27169,4,S,C,U,A,N,5
11960,35121,4,R,C,O,A,I,16
11961,242621,4,R,C,U,A,I,5
11962,14696,4,R,L,U,E,N,5
11963,22625,4,S,L,U,A,I,10
11964,16732,4,S,L,U,A,I,4
11965,989,4,S,C,U,A,N,2
11966,16084,4,S,C,U,A,I,10
11967,96848,4,S,L,U,E,I,5
11968,13051,4,S,L,O,E,N,7
11969,36557,4,S,L,O,E,N,9
11970,74072,4,R,L,O,A,I,6
11971,13927,4,R,C,U,A,I,3
11972,35640,4,S,C,U,A,N,3
11973,41634,4,S,C,U,A,I,4
11974,137,4,S,C,O,A,I,4
11975,5806,4,S,C,O,A,I,3
11976,22291,4,R,C,O,A,I,3
11977,9109,4,S,C,O,A,I,10
11978,11708,4,S,C,U,A,I,4
11979,12664,4,S,L,O,A,I,5
11980,62920,4,S,C,U,E,I,2
11981,11998,4,S,C,U,E,N,3
11982,21565,4,R,C,U,E,N,6
11983,451,4,S,L,O,A,I,6
11984,1061,4,R,L,O,A,I,3
11985,20307,4,R,C,O,A,N,7
11986,12474,4,S,C,U,A,I,6
11987,315063,4,S,L,U,A,I,5
11988,964,4,S,L,U,A,I,8
11989,10153,4,S,C,O,A,N,7
11990,19307,4,S,C,O,A,N,1
11991,23674,4,R,C,O,A,I,5
11992,1399,4,S,C,U,A,I,7
11993,287677,4,R,C,O,E,I,2
11994,20287,4,R,C,U,E,N,7
11995,15624,4,R,C,O,A,I,4
11996,11816,4,R,C,O,A,N,8
11997,23612,4,R,C,O,A,I,2
11998,194846,4,S,L,O,A,I,10
11999,1037,4,S,C,U,A,N,4
12000,20739,4,S,L,U,A,I,6
12001,22610,4,S,C,U,A,I,5
12002,483144,4,R,L,U,A,I,9
12003,41856,4,S,C,O,A,I,1
12004,23651,4,R,L,U,E,I,7
12005,981,4,R,C,U,A,I,3
12006,1080,4,S,C,U,E,I,2
12007,131784,4,S,C,O,A,I,6
12008,16704,4,S,C,O,A,I,5
12009,13087,4,R,C,O,E,I,4
12010,23161,4,S,C,U,A,I,6
12011,42452,4,S,C,O,A,I,4
12012,20951,4,R,L,U,A,I,4
12013,129,4,S,C,U,A,I,4
12014,33310,4,R,L,O,A,N,3
12015,10457,4,S,C,O,A,I,6
12016,20950,4,R,C,U,A,I,3
12017,953,4,R,C,U,A,I,6
12018,47821,4,R,C,O,A,N,6
12019,74088,4,S,L,U,A,I,5
12020,8844,4,R,C,U,E,I,9
12021,20427,4,S,C,U,E,I,6
12022,1053,4,R,L,U,A,N,4
12023,10878,4,S,C,U,E,I,3
12024,98731,4,S,L,O,E,N,12
12025,19310,4,R,C,O,E,I,3
12026,22500,4,S,C,O,A,I,3
12027,49090,4,S,C,O,A,I,2
12028,96165,4,S,C,U,A,I,3
12029,3816,4,R,C,U,A,N,3
12030,13050,4,S,L,O,A,I,3
12031,26224,4,S,L,O,A,I,7
12032,32766,4,S,C,O,E,I,2
12033,50368,4,S,C,U,A,I,2
12034,1009,4,S,C,U,A,N,4
12035,175609,4,S,C,O,A,I,2
12036,192410,4,R,C,U,A,I,1
12037,14547,4,S,L,U,A,I,4
12038,16124,4,S,C,U,A,I,2
12039,33596,4,S,C,U,E,I,5
12040,36639,4,S,L,U,E,N,6
12041,22292,4,S,L,U,A,I,2
12042,1022,4,R,C,O,A,N,9
12043,3151,4,S,C,U,A,N,4
12044,9294,4,R,C,O,E,I,6
12045,5461,4,R,C,O,A,I,2
12046,7847,4,R,C,O,E,N,2
12047,10032,4,R,C,O,A,N,2
12048,20434,4,S,L,U,E,I,3
12049,53974,4,S,C,U,A,I,4
12050,74066,4,S,C,U,A,I,5
12051,9264,4,R,L,U,A,I,2
12052,10157,4,S,C,O,E,N,7
12053,45155,4,S,C,U,A,N,3
12054,49116,4,S,L,O,A,N,1
12055,11313,4,S,C,O,A,I,6
12056,13924,4,S,C,O,A,N,4
12057,58338,4,S,C,O,A,I,6
12058,75832,4,R,C,O,A,N,1
12059,5467,4,S,C,O,A,I,1
12060,21284,4,S,C,U,E,I,5
12061,28273,4,R,L,U,E,I,10
12062,50585,4,S,L,U,A,N,11
12063,9802,4,S,C,O,A,I,1
12064,14849,4,S,C,U,A,I,4
12065,16260,4,S,C,U,A,I,1
12066,22509,4,R,L,U,A,N,1
12067,38266,4,S,L,U,A,I,1
12068,48408,4,R,C,U,A,I,1
12069,13921,4,S,L,O,E,I,2
12070,72040,4,R,C,U,A,I,1
12071,105141,4,R,C,O,A,I,7
12072,5460,4,R,C,U,A,I,2
