index,celebid,pid,letter1,letter2,letter3,letter4,letter5,totalvotes
228120,1079678,8,C,h,o,m,i,1
228121,1079764,8,S,a,l,e,g,1
228122,1079816,8,C,h,o,m,i,1
228123,1079870,8,P,h,o,m,i,1
228124,1079908,8,M,e,o,m,i,1
228125,1080033,8,S,a,o,m,i,1
228126,1086072,8,S,a,o,m,i,2
228127,1113093,8,P,h,l,a,n,1
228128,449072,8,S,a,o,l,e,1
228129,459188,8,S,a,o,m,i,1
228130,525715,8,C,h,l,a,n,4
228131,525716,8,C,h,l,a,n,2
228132,525719,8,S,a,o,m,i,1
228133,525722,8,M,e,o,l,e,1
228134,525732,8,P,h,o,l,e,3
228135,537832,8,C,h,n,g,u,1
228136,743466,8,P,h,o,l,e,2
228137,967395,8,M,e,o,m,i,1
228138,1060379,8,P,h,n,g,u,1
228139,43723,8,S,a,o,m,i,15
228140,9257,8,S,a,o,l,e,16
228141,23445,8,P,h,l,a,n,22
228142,36098,8,P,h,o,m,i,6
228143,264267,8,P,h,o,m,i,17
228144,28885,8,P,h,o,m,i,5
228145,30215,8,S,a,l,a,n,5
228146,35606,8,P,h,o,m,i,5
