28631,376,1,3,w,4,,,18
28632,31023,1,1,w,9,,,17
28633,25299,1,8,w,7,,,24
28634,40744,1,5,w,6,,,16
28635,6611,1,8,w,7,,,8
28636,87393,1,9,w,1,,,25
28637,377,1,3,w,4,,,7
28638,10139,1,8,w,7,,,10
28639,378,1,8,w,9,,,10
28640,10143,1,8,w,7,,,7
28641,10141,1,7,w,8,,,5
28642,65862,1,5,w,6,,,7
28643,5368,1,6,w,5,,,3
28644,23258,1,1,w,2,,,5
28645,380,1,3,w,4,,,4
28646,18527,1,7,w,8,,,3
28647,5369,1,2,w,3,,,4
28648,18408,1,6,w,7,,,3
28649,18524,1,8,w,9,,,3
28650,57006,1,7,w,6,,,6
28651,65824,1,8,w,7,,,10
28652,379,1,6,w,5,,,1
28653,20047,1,3,w,2,,,3
28654,62004,1,8,w,9,,,5
28655,63322,1,6,w,7,,,4
28656,65849,1,3,w,4,,,4
28657,18526,1,7,w,8,,,3
28658,64986,1,1,w,9,,,1
28659,71677,1,6,w,7,,,8
28660,110979,1,7,w,6,,,4
28661,10140,1,8,w,7,,,6
28662,18525,1,1,w,2,,,2
28663,57637,1,8,w,9,,,6
28664,62001,1,8,w,7,,,6
28665,63315,1,8,w,7,,,6
28666,64201,1,9,w,1,,,3
28667,66120,1,3,w,4,,,3
28668,10144,1,6,w,5,,,5
28669,18528,1,8,w,7,,,2
28670,18529,1,6,w,5,,,1
28671,57107,1,8,w,7,,,5
28672,57634,1,9,w,8,,,3
28673,62003,1,9,w,1,,,4
28674,62018,1,7,w,8,,,1
28675,63695,1,3,w,2,,,3
28676,70284,1,9,w,8,,,3
28677,70965,1,8,w,9,,,3
28678,72832,1,7,w,8,,,2
28679,73860,1,9,w,8,,,4
28680,95998,1,1,w,2,,,2
28681,10142,1,9,w,8,,,1
28682,65939,1,7,w,8,,,2
28683,67805,1,9,w,8,,,1
28684,70279,1,4,w,3,,,4
28685,71079,1,3,w,2,,,1
28686,96166,1,3,w,4,,,3
28687,110967,1,1,w,9,,,2
28688,111888,1,6,w,7,,,1
28689,434727,1,3,w,4,,,3
28690,57004,1,9,w,8,,,1
28691,57357,1,8,w,9,,,3
28692,64835,1,8,w,7,,,4
28693,64987,1,8,w,9,,,2
28694,65044,1,6,w,5,,,2
28695,65850,1,8,w,7,,,3
28696,70983,1,9,w,8,,,3
28697,71078,1,3,w,4,,,5
28698,73151,1,6,w,7,,,3
28699,74339,1,8,w,7,,,2
28700,93199,1,9,w,1,,,2
28701,107332,1,6,w,5,,,2
28702,108682,1,2,w,3,,,1
28703,115830,1,5,w,6,,,3
28704,166957,1,2,w,3,,,2
28705,172449,1,4,w,5,,,4
28706,206718,1,2,w,3,,,3
28707,415493,1,3,w,4,,,1
28708,57106,1,3,w,2,,,4
28709,61999,1,8,w,7,,,2
28710,62006,1,7,w,6,,,4
28711,62019,1,4,w,5,,,3
28712,63320,1,7,w,8,,,3
28713,63437,1,6,w,7,,,2
28714,63443,1,6,w,5,,,1
28715,64926,1,6,w,5,,,1
28716,64927,1,1,w,2,,,2
28717,68357,1,6,w,7,,,3
28718,68547,1,2,w,3,,,1
28719,68966,1,4,w,3,,,2
28720,70911,1,6,w,7,,,2
28721,70912,1,8,w,9,,,3
28722,70957,1,9,w,8,,,2
28723,70958,1,7,w,8,,,2
28724,70964,1,3,w,2,,,2
28725,70982,1,7,w,6,,,2
28726,71069,1,1,w,9,,,1
