index,celebid,pid,letter1,letter2,letter3,letter4,letter5,totalvotes
179,2488,3,E,L,V,F,,6
180,472,3,E,F,V,L,,7
181,2921,3,V,L,F,E,,4
182,30285,3,V,E,F,L,,5
183,3068,3,F,L,V,E,,9
184,11673,3,V,E,F,L,,1
185,12333,3,F,L,E,V,,4
186,24705,3,L,V,F,E,,4
187,9261,3,E,L,F,V,,5
188,856,3,F,V,E,L,,2
189,23477,3,F,E,V,L,,2
190,19843,3,L,E,F,V,,7
191,103787,3,F,L,E,V,,2
192,10131,3,V,F,L,E,,7
193,40338,3,V,E,F,L,,3
194,27109,3,F,E,V,L,,6
195,48978,3,V,L,E,F,,3
196,18632,3,L,E,F,V,,7
197,993,3,E,V,L,F,,2
198,2303,3,L,E,V,F,,3
199,37571,3,V,F,L,E,,2
200,14694,3,E,V,F,L,,2
201,23611,3,F,E,L,V,,6
202,25838,3,F,V,E,L,,2
203,15528,3,V,L,F,E,,4
204,13926,3,E,V,F,L,,2
205,1018,3,L,F,E,V,,1
206,27169,3,E,F,L,V,,5
207,35121,3,L,E,F,V,,4
208,242621,3,E,F,L,V,,3
209,14696,3,F,L,V,E,,1
210,22625,3,V,F,L,E,,8
211,16732,3,V,E,F,L,,1
212,989,3,F,E,V,L,,2
213,16084,3,E,V,L,F,,2
214,96848,3,V,E,L,F,,2
215,13051,3,F,L,E,V,,5
216,36557,3,V,F,L,E,,3
217,13927,3,F,E,L,V,,2
218,41634,3,E,F,V,L,,3
219,137,3,E,V,F,L,,5
220,5806,3,F,L,E,V,,1
221,22291,3,E,L,V,F,,1
222,9109,3,V,F,L,E,,9
223,11708,3,V,F,L,E,,1
224,12664,3,E,V,L,F,,2
225,11998,3,V,F,L,E,,3
226,21565,3,F,V,L,E,,3
227,451,3,E,V,L,F,,2
228,20307,3,E,L,V,F,,5
229,12474,3,E,F,V,L,,1
230,315063,3,E,F,L,V,,5
231,964,3,F,E,L,V,,6
232,10153,3,E,F,L,V,,2
233,19307,3,E,V,F,L,,2
234,23674,3,E,V,F,L,,1
235,1399,3,E,V,F,L,,4
236,287677,3,E,V,F,L,,1
237,20287,3,F,V,L,E,,2
238,11816,3,L,V,E,F,,3
239,23612,3,E,L,F,V,,1
240,194846,3,E,F,V,L,,4
241,1037,3,V,F,E,L,,3
242,22610,3,F,E,V,L,,3
243,483144,3,L,V,F,E,,5
244,41856,3,V,E,L,F,,2
245,23651,3,L,V,E,F,,2
246,1080,3,V,F,L,E,,4
247,131784,3,E,V,F,L,,4
248,16704,3,F,E,L,V,,1
249,13087,3,L,V,F,E,,2
250,23161,3,F,E,V,L,,6
251,42452,3,E,F,V,L,,2
252,20951,3,L,E,V,F,,4
253,10457,3,E,V,F,L,,2
254,953,3,E,F,V,L,,5
255,47821,3,E,V,F,L,,4
256,74088,3,E,F,V,L,,2
257,8844,3,V,L,F,E,,7
258,20427,3,L,E,V,F,,2
259,1053,3,F,E,V,L,,3
260,10878,3,V,L,E,F,,3
261,98731,3,V,F,L,E,,9
262,19310,3,F,L,V,E,,2
263,22500,3,E,V,F,L,,1
264,49090,3,V,E,F,L,,3
265,96165,3,E,V,F,L,,1
266,3816,3,E,L,V,F,,2
267,13050,3,E,V,L,F,,2
268,26224,3,V,L,F,E,,1
269,50368,3,E,F,V,L,,2
270,1009,3,F,E,V,L,,4
271,175609,3,F,E,V,L,,3
272,33596,3,E,L,V,F,,3
273,36639,3,V,F,L,E,,1
274,1022,3,V,L,F,E,,2
275,3151,3,F,L,E,V,,1
276,9294,3,V,L,F,E,,3
277,5461,3,L,F,E,V,,2
278,20434,3,V,E,F,L,,2
279,53974,3,V,E,L,F,,1
280,74066,3,E,F,V,L,,1
281,10157,3,V,F,L,E,,4
282,49116,3,V,F,L,E,,1
283,11313,3,E,L,F,V,,2
284,13924,3,F,E,V,L,,1
285,58338,3,E,F,L,V,,3
286,75832,3,F,L,E,V,,2
287,5467,3,L,E,V,F,,1
288,21284,3,V,L,E,F,,1
289,28273,3,E,L,V,F,,7
290,50585,3,E,V,F,L,,9
291,14849,3,E,F,V,L,,1
292,22509,3,F,L,V,E,,1
293,38266,3,E,F,V,L,,1
294,13921,3,V,L,F,E,,2
295,105141,3,L,E,V,F,,4
296,5460,3,F,E,L,V,,2
297,16261,3,V,L,F,E,,2
298,80455,3,V,L,F,E,,2
299,33323,3,E,L,V,F,,5
300,155747,3,F,E,L,V,,2
301,3817,3,E,F,L,V,,2
302,41635,3,E,F,L,V,,3
303,320310,3,F,V,L,E,,4
304,14937,3,E,L,F,V,,2
305,21059,3,L,E,V,F,,3
306,22598,3,L,V,F,E,,1
307,23916,3,V,L,E,F,,1
308,43585,3,F,E,L,V,,1
309,1586,3,L,F,V,E,,2
310,15529,3,E,F,V,L,,2
311,25899,3,V,L,F,E,,4
312,65731,3,F,E,V,L,,1
313,72657,3,L,V,F,E,,1
314,19924,3,V,L,F,E,,3
315,38735,3,F,E,L,V,,2
316,127863,3,F,L,V,E,,1
317,49332,3,V,E,F,L,,1
318,160693,3,F,V,E,L,,1
319,215944,3,E,L,F,V,,2
320,20439,3,V,L,F,E,,1
321,9018,3,V,E,F,L,,1
322,13915,3,V,L,E,F,,2
323,3098,3,F,V,L,E,,2
324,27901,3,E,V,F,L,,2
325,8006,3,L,F,V,E,,1
326,39761,3,V,F,L,E,,1
327,54847,3,E,F,L,V,,1
