index,celebid,pid,letter1,letter2,letter3,letter4,letter5,totalvotes
164335,57009,6,S,L,I,,,1
164336,57639,6,L,S,E,,,1
164337,62000,6,S,L,E,,,1
164338,63321,6,L,S,E,,,1
164339,64829,6,S,L,E,,,1
164340,64834,6,S,E,E,,,1
164341,65082,6,L,S,E,,,1
164342,65470,6,S,E,E,,,1
164343,66782,6,S,E,E,,,1
164344,66950,6,L,S,E,,,1
164345,67361,6,L,S,E,,,1
164346,67406,6,L,S,E,,,1
164347,68668,6,I,L,I,,,1
164348,70065,6,S,E,E,,,1
164349,70907,6,S,E,E,,,1
164350,70909,6,E,S,I,,,1
164351,70913,6,L,S,E,,,1
164352,70927,6,E,S,I,,,1
164353,70928,6,L,S,E,,,2
164354,70930,6,L,S,E,,,1
164355,70961,6,L,S,E,,,1
164356,70981,6,S,E,E,,,1
164357,71025,6,S,L,I,,,1
164358,71068,6,S,E,I,,,1
164359,71076,6,E,S,E,,,1
164360,71540,6,S,E,E,,,1
164361,71541,6,L,S,E,,,1
164362,71994,6,S,E,E,,,1
164363,72492,6,E,S,E,,,1
164364,73231,6,L,S,I,,,1
164365,73334,6,L,S,E,,,1
164366,73564,6,I,E,E,,,1
164367,73713,6,E,S,I,,,1
164368,73815,6,S,E,I,,,1
164369,74331,6,E,S,I,,,1
164370,74332,6,S,E,E,,,1
164371,74333,6,S,E,I,,,1
164372,74338,6,L,S,E,,,1
164373,74341,6,E,S,E,,,1
164374,74485,6,L,S,E,,,1
164375,77327,6,S,E,E,,,1
164376,77946,6,E,S,E,,,1
164377,87593,6,L,S,I,,,4
164378,92539,6,S,L,I,,,1
164379,94599,6,S,E,E,,,1
164380,95999,6,S,E,I,,,1
164381,99115,6,S,E,E,,,1
164382,100005,6,L,S,I,,,1
164383,100332,6,S,E,I,,,1
164384,101245,6,L,S,I,,,1
164385,103713,6,L,S,I,,,1
164386,105408,6,E,S,E,,,1
164387,105606,6,S,E,E,,,1
164388,105790,6,S,E,I,,,1
164389,106035,6,S,E,E,,,1
164390,109179,6,E,S,I,,,1
164391,109474,6,S,E,I,,,1
164392,109550,6,S,L,I,,,1
164393,111553,6,I,E,E,,,1
164394,111958,6,E,S,E,,,1
164395,114112,6,S,E,I,,,1
164396,115426,6,E,S,E,,,1
164397,120997,6,E,S,I,,,1
164398,121775,6,E,S,I,,,1
164399,121785,6,S,E,E,,,1
164400,124501,6,E,S,I,,,1
164401,126022,6,E,S,E,,,1
164402,126026,6,S,E,I,,,1
164403,126427,6,S,E,I,,,1
164404,128670,6,L,S,E,,,1
164405,155752,6,E,S,I,,,1
164406,155753,6,S,L,I,,,1
164407,155758,6,S,E,I,,,1
164408,155765,6,S,L,I,,,1
164409,155768,6,S,E,I,,,1
164410,155771,6,S,E,E,,,1
164411,155772,6,E,S,E,,,1
164412,156011,6,L,S,E,,,1
164413,156014,6,E,S,I,,,1
164414,156017,6,S,E,I,,,1
164415,156020,6,S,L,I,,,1
164416,158581,6,E,S,I,,,1
164417,159030,6,E,S,E,,,1
164418,159126,6,E,S,I,,,1
164419,159612,6,S,L,I,,,1
164420,159613,6,L,S,E,,,1
164421,159615,6,E,S,I,,,1
164422,159617,6,S,E,I,,,1
164423,159632,6,S,E,I,,,1
164424,159926,6,E,S,I,,,1
164425,160200,6,S,E,I,,,1
164426,160420,6,L,S,E,,,1
164427,160519,6,E,S,I,,,1
164428,160909,6,S,L,I,,,1
164429,160913,6,S,L,I,,,1
164430,161433,6,E,S,I,,,1
164431,162481,6,S,L,I,,,1
164432,162552,6,L,S,E,,,1
164433,163050,6,S,L,I,,,1
164434,164117,6,S,E,E,,,1
164435,168505,6,E,S,I,,,1
164436,168506,6,E,S,I,,,1
164437,169421,6,S,E,I,,,1
164438,169688,6,S,E,I,,,1
164439,172450,6,I,E,E,,,1
164440,173788,6,E,S,E,,,1
164441,174730,6,S,L,I,,,1
164442,175792,6,S,E,I,,,1
164443,177214,6,L,S,E,,,1
164444,178024,6,S,L,I,,,1
164445,178111,6,E,S,I,,,1
164446,178486,6,L,S,E,,,1
164447,178500,6,S,E,I,,,1
164448,178501,6,E,S,I,,,1
164449,178502,6,E,S,I,,,1
164450,178506,6,S,E,I,,,1
164451,178853,6,S,E,I,,,1
164452,180282,6,L,S,E,,,1
164453,181261,6,E,I,I,,,1
164454,181759,6,E,S,E,,,1
164455,183152,6,E,S,I,,,1
164456,183327,6,E,S,I,,,1
164457,183758,6,E,S,I,,,1
164458,184266,6,S,E,I,,,1
164459,184553,6,S,E,E,,,1
164460,186594,6,S,E,I,,,1
164461,186687,6,S,E,E,,,1
164462,187831,6,S,E,I,,,1
164463,188307,6,E,S,I,,,1
164464,190522,6,S,E,I,,,1
164465,190716,6,S,E,I,,,1
164466,191474,6,L,I,E,,,1
164467,192193,6,S,L,I,,,1
164468,193097,6,L,S,E,,,1
164469,194713,6,E,S,I,,,1
164470,194758,6,S,E,E,,,1
164471,196316,6,S,L,I,,,1
164472,197147,6,L,S,E,,,1
164473,199316,6,S,E,I,,,1
164474,199970,6,S,E,I,,,1
164475,200756,6,L,S,E,,,1
164476,200894,6,L,S,E,,,1
164477,201005,6,E,S,I,,,1
164478,201006,6,E,S,I,,,1
164479,201007,6,S,E,I,,,1
164480,201367,6,S,L,I,,,1
164481,201368,6,S,E,I,,,1
164482,201369,6,S,E,I,,,1
164483,201390,6,L,S,E,,,1
164484,202702,6,E,S,E,,,1
164485,205307,6,L,S,E,,,1
164486,205835,6,E,S,I,,,1
164487,206481,6,S,L,I,,,1
164488,206746,6,S,E,I,,,1
164489,207946,6,E,S,I,,,1
164490,207949,6,E,S,I,,,1
164491,208029,6,S,E,I,,,1
164492,208264,6,S,L,I,,,1
164493,208338,6,S,L,I,,,1
164494,210939,6,S,E,I,,,1
164495,211076,6,E,S,I,,,1
164496,216906,6,E,S,E,,,1
164497,216968,6,S,E,I,,,1
164498,216971,6,E,S,I,,,1
164499,216978,6,E,S,I,,,1
164500,218529,6,E,S,E,,,1
164501,218546,6,S,L,I,,,1
164502,219292,6,S,L,I,,,1
164503,220295,6,S,L,I,,,1
164504,221759,6,E,S,I,,,1
164505,221767,6,S,E,I,,,1
164506,223583,6,E,S,E,,,1
164507,223584,6,S,L,I,,,1
164508,223590,6,L,S,E,,,1
164509,224361,6,S,E,I,,,1
164510,224367,6,S,E,E,,,1
164511,224390,6,L,S,I,,,1
164512,224410,6,E,S,I,,,1
164513,224509,6,S,E,I,,,1
164514,224510,6,S,E,I,,,1
164515,224578,6,E,S,I,,,1
164516,224589,6,E,S,E,,,1
164517,225045,6,S,L,E,,,1
164518,225784,6,S,E,I,,,1
164519,226589,6,S,E,I,,,1
164520,227251,6,E,S,E,,,1
164521,227305,6,S,E,I,,,1
164522,227618,6,S,E,I,,,1
164523,227650,6,S,L,I,,,1
164524,229984,6,S,L,I,,,1
164525,230923,6,S,L,I,,,1
164526,232398,6,E,S,I,,,1
164527,233093,6,S,E,I,,,1
164528,233099,6,E,I,E,,,1
164529,233375,6,S,L,I,,,1
164530,233452,6,E,S,I,,,1
164531,233992,6,E,S,I,,,1
164532,233993,6,E,S,I,,,1
164533,233995,6,S,E,I,,,1
164534,237163,6,E,S,I,,,1
164535,237173,6,E,S,I,,,1
164536,237764,6,S,L,I,,,1
164537,246702,6,S,E,E,,,1
164538,253496,6,S,E,I,,,1
164539,266906,6,E,S,I,,,2
164540,267978,6,S,L,I,,,1
164541,278068,6,E,S,E,,,1
164542,282499,6,S,L,I,,,1
164543,296619,6,S,E,I,,,1
164544,474258,6,L,S,I,,,1
164545,449,6,S,L,E,,,437
164546,70,6,E,I,E,,,166
164547,2304,6,E,S,E,,,101
164548,330,6,E,I,I,,,75
164549,312,6,S,E,E,,,62
164550,71,6,S,E,E,,,44
164551,343,6,L,I,I,,,38
164552,345,6,E,S,I,,,53
164553,315,6,S,E,E,,,40
164554,321,6,S,L,E,,,53
164555,74,6,E,S,E,,,42
164556,72,6,S,E,E,,,49
164557,75,6,E,I,I,,,16
164558,311,6,S,E,E,,,24
164559,77,6,E,S,I,,,34
164560,73,6,E,S,I,,,15
164561,319,6,E,S,I,,,15
164562,344,6,I,L,I,,,29
164563,339,6,S,E,E,,,23
164564,313,6,L,S,E,,,19
164565,314,6,L,S,E,,,18
164566,342,6,L,I,I,,,12
164567,317,6,I,L,I,,,11
164568,340,6,L,I,I,,,12
164569,328,6,S,L,I,,,20
164570,76,6,S,E,I,,,6
164571,335,6,L,I,E,,,11
164572,318,6,E,S,E,,,5
164573,316,6,L,S,E,,,4
164574,320,6,S,L,I,,,6
164575,341,6,L,S,I,,,6
164576,336,6,L,I,I,,,6
164577,329,6,L,S,I,,,7
164578,323,6,L,S,E,,,6
164579,326,6,I,L,E,,,5
164580,338,6,I,E,I,,,4
164581,331,6,S,E,I,,,6
164582,334,6,S,L,I,,,5
164583,327,6,I,L,E,,,4
164584,322,6,E,S,E,,,7
164585,324,6,L,S,I,,,4
164586,337,6,L,S,E,,,4
164587,325,6,S,E,I,,,3
164588,332,6,I,E,E,,,3
164589,333,6,S,E,I,,,3
164590,10291,6,E,S,E,,,141
164591,608,6,I,E,I,,,114
164592,288397,6,L,I,E,,,151
164593,155318,6,E,S,E,,,127
164594,43014,6,E,S,E,,,33
164595,965,6,I,L,E,,,72
164596,16722,6,I,E,I,,,77
164597,970,6,S,E,E,,,65
164598,151,6,I,L,E,,,45
164599,97,6,E,S,E,,,76
164600,14643,6,S,E,E,,,97
164601,20191,6,E,I,E,,,51
164602,108,6,L,S,E,,,94
164603,3820,6,I,L,I,,,68
164604,43105,6,I,L,E,,,31
164605,19314,6,E,I,I,,,24
164606,1740,6,S,L,I,,,74
164607,1001,6,S,E,E,,,85
164608,1861,6,E,S,E,,,82
164609,1006,6,S,E,E,,,53
164610,1746,6,S,L,I,,,73
164611,9726,6,I,E,I,,,46
164612,96,6,L,S,E,,,69
164613,10686,6,E,I,E,,,42
164614,567786,6,S,E,I,,,24
164615,971,6,E,S,E,,,55
164616,978,6,I,E,E,,,63
164617,52937,6,E,S,E,,,46
164618,20289,6,E,I,I,,,47
164619,923,6,E,S,E,,,14
164620,52942,6,E,S,I,,,35
164621,16694,6,I,L,E,,,29
164622,135,6,L,I,I,,,60
164623,6473,6,I,E,I,,,78
164624,27346,6,I,E,I,,,35
164625,4778,6,E,I,I,,,51
164626,3226,6,E,I,E,,,26
164627,969,6,E,S,I,,,23
164628,463,6,S,L,I,,,44
164629,1048,6,S,E,I,,,36
164630,16990,6,I,E,E,,,25
164631,9260,6,S,L,I,,,36
164632,452,6,I,E,E,,,43
164633,130,6,S,E,E,,,22
164634,29749,6,E,I,E,,,35
164635,3821,6,E,S,E,,,30
164636,988,6,E,S,E,,,29
164637,1370,6,L,I,I,,,22
164638,16085,6,I,E,E,,,10
164639,13807,6,S,L,I,,,21
164640,8841,6,S,E,I,,,25
164641,3110,6,I,E,E,,,21
164642,22723,6,I,E,E,,,36
164643,1755,6,I,E,I,,,37
164644,17508,6,I,E,I,,,29
164645,980,6,E,S,E,,,18
164646,24993,6,S,E,I,,,25
164647,11070,6,E,S,E,,,33
164648,434,6,S,L,I,,,38
164649,23910,6,I,L,E,,,24
164650,16717,6,E,I,I,,,6
164651,589,6,E,S,E,,,30
164652,461,6,I,E,I,,,17
164653,35388,6,L,I,E,,,26
164654,20202,6,E,I,E,,,50
164655,9737,6,S,E,E,,,25
164656,20266,6,S,E,I,,,16
164657,16157,6,E,S,E,,,13
164658,25515,6,E,I,I,,,15
164659,42879,6,I,E,I,,,44
164660,16695,6,E,I,I,,,10
164661,1042,6,I,E,E,,,18
164662,2712,6,E,S,E,,,15
164663,779,6,S,L,E,,,32
164664,16123,6,I,E,E,,,17
164665,922,6,S,E,I,,,7
164666,1745,6,S,L,E,,,34
164667,19921,6,I,L,E,,,11
164668,470,6,E,I,E,,,25
164669,12439,6,I,L,E,,,13
164670,1017,6,L,I,I,,,26
164671,1766,6,S,L,I,,,38
164672,2529,6,I,L,E,,,14
164673,3550,6,I,L,I,,,24
164674,6935,6,I,L,E,,,18
164675,16125,6,E,S,E,,,11
164676,29442,6,S,L,E,,,18
164677,25330,6,E,S,E,,,21
164678,8618,6,E,S,E,,,25
164679,28470,6,S,L,I,,,28
164680,610,6,S,E,E,,,22
164681,8005,6,I,L,E,,,12
164682,16149,6,L,I,E,,,19
164683,1035,6,E,I,I,,,3
164684,960,6,I,E,E,,,24
164685,4170,6,I,E,E,,,17
164686,2704,6,S,L,E,,,21
164687,10455,6,I,L,E,,,13
164688,11599,6,S,E,E,,,8
164689,6491,6,L,I,E,,,23
164690,8620,6,E,S,E,,,26
164691,1371,6,I,E,I,,,18
164692,20366,6,E,S,I,,,9
164693,21187,6,E,S,E,,,11
164694,133,6,E,S,I,,,17
164695,5941,6,E,S,E,,,6
164696,1028,6,S,E,I,,,25
164697,4945,6,I,E,E,,,9
164698,39109,6,E,I,I,,,30
164699,25479,6,E,I,E,,,29
164700,8847,6,I,L,E,,,15
164701,42827,6,I,E,I,,,12
164702,967,6,L,I,E,,,18
164703,136,6,E,S,E,,,14
164704,13086,6,I,E,I,,,18
164705,16693,6,E,S,E,,,10
164706,2099,6,L,I,E,,,20
164707,10867,6,L,S,I,,,18
164708,9852,6,I,E,I,,,11
164709,127219,6,E,S,E,,,9
164710,1026,6,E,S,I,,,14
164711,3135,6,S,L,I,,,18
164712,11033,6,I,E,E,,,18
164713,16710,6,E,S,E,,,12
164714,1054,6,S,E,I,,,11
164715,12473,6,E,I,E,,,13
164716,1052,6,E,S,E,,,18
164717,2309,6,I,E,E,,,10
164718,8815,6,E,S,E,,,8
164719,33143,6,S,E,E,,,16
164720,793,6,S,E,I,,,14
164721,2977,6,I,L,E,,,24
164722,22592,6,I,L,E,,,7
164723,2488,6,L,S,I,,,19
164724,81146,6,S,L,E,,,7
164725,472,6,S,E,E,,,20
164726,2921,6,L,S,E,,,10
164727,20952,6,I,E,E,,,2
164728,30285,6,I,L,E,,,20
164729,3068,6,S,L,E,,,23
164730,11673,6,E,S,E,,,6
164731,12333,6,E,S,E,,,7
164732,24705,6,I,L,E,,,11
164733,9261,6,I,E,E,,,20
164734,856,6,L,S,I,,,19
164735,23477,6,I,E,I,,,15
164736,19843,6,E,I,I,,,16
164737,103787,6,I,L,E,,,11
164738,10131,6,S,L,E,,,19
164739,40338,6,E,I,E,,,6
164740,27109,6,E,I,E,,,25
164741,48978,6,I,L,E,,,11
164742,22499,6,I,E,I,,,11
164743,18632,6,I,L,E,,,16
164744,993,6,E,S,E,,,8
164745,2303,6,I,L,E,,,7
164746,37571,6,E,I,E,,,7
164747,14694,6,E,S,E,,,14
164748,23611,6,S,E,I,,,7
164749,25838,6,I,L,E,,,14
164750,15528,6,I,L,E,,,8
164751,13926,6,I,L,E,,,1
164752,1018,6,I,L,I,,,11
164753,3818,6,I,L,E,,,2
164754,27169,6,S,E,E,,,6
164755,35121,6,E,I,I,,,26
164756,242621,6,E,I,I,,,1
164757,14696,6,I,L,E,,,10
164758,22625,6,I,E,E,,,14
164759,16732,6,E,S,E,,,9
164760,989,6,S,E,E,,,12
164761,16084,6,E,S,E,,,16
164762,96848,6,E,I,E,,,22
164763,13051,6,S,L,E,,,16
164764,36557,6,L,I,E,,,5
164765,74072,6,I,E,I,,,5
164766,13927,6,S,L,I,,,10
164767,41634,6,I,E,E,,,9
164768,137,6,E,S,E,,,9
164769,5806,6,E,I,E,,,5
164770,22291,6,I,E,I,,,7
164771,9109,6,S,L,E,,,23
164772,11708,6,I,E,E,,,4
164773,12664,6,E,I,E,,,10
164774,62920,6,S,L,E,,,13
164775,11998,6,S,E,E,,,13
164776,21565,6,S,L,I,,,9
164777,451,6,E,S,E,,,11
164778,1061,6,I,E,I,,,9
164779,20307,6,I,E,I,,,7
164780,12474,6,I,E,E,,,11
164781,315063,6,I,E,E,,,7
164782,964,6,I,L,E,,,7
164783,10153,6,E,S,E,,,18
164784,19307,6,E,S,I,,,7
164785,23674,6,I,E,I,,,3
