376,so/sp,6
31023,sp/sx,9
25299,sx/sp,9
40744,sp/sx,3
6611,so/sx,3
87393,sp/so,10
377,so/sx,2
10139,sp/sx,2
378,sp/sx,5
10143,sx/so,3
10141,sp/sx,2
65862,sp/sx,1
5368,sp/so,2
23258,sp/so,3
380,sx/so,1
18527,sx/so,1
5369,sp/so,2
18408,sx/so,1
18524,sx/sp,1
57006,sx/so,1
65824,sp/sx,3
20047,sp/so,3
62004,sx/so,2
63322,so/sx,1
65849,sx/sp,1
18526,so/sx,1
64986,sp/sx,1
71677,sp/sx,3
110979,sx/so,2
10140,sp/so,3
18525,sp/so,1
57637,sp/sx,2
62001,sp/so,3
63315,sp/so,4
64201,so/sp,2
66120,sx/so,2
10144,sp/sx,2
18528,sx/so,2
18529,sp/so,1
57107,sx/so,2
57634,sp/sx,1
62003,so/sp,2
62018,sx/so,1
63695,sp/so,1
70284,sx/sp,1
70965,sp/sx,2
72832,sx/so,1
73860,sx/sp,3
95998,sp/so,2
10142,sp/sx,1
65939,so/sp,2
67805,sp/so,1
70279,sp/so,2
71079,sp/so,1
434727,sx/so,1
57004,sp/sx,1
57357,sp/sx,1
64835,sx/so,2
64987,so/sp,2
65044,sp/so,1
65850,sp/so,2
70983,sp/so,1
71078,sx/so,2
74339,sx/so,1
93199,sp/so,1
107332,sp/so,1
115830,sx/sp,1
166957,sp/so,1
172449,so/sp,3
206718,so/sx,1
415493,sx/so,1
57106,so/sp,1
61999,sx/so,2
62006,so/sx,1
62019,sp/so,1
63320,so/sp,1
63437,sp/sx,1
63443,sp/so,1
64926,sx/so,1
68357,sx/sp,1
68547,so/sx,1
68966,sp/so,1
70911,so/sx,1
70912,sp/so,2
70957,sp/so,1
70958,so/sx,1
70964,so/sp,1
70982,so/sx,1
71069,sp/sx,1
71840,sx/so,1
72268,sp/sx,2
73142,sx/so,1
73216,so/sx,3
73323,sp/so,2
74293,sp/so,1
77326,sp/so,1
78204,so/sx,2
96164,sx/so,2
98015,sp/so,1
109329,sp/so,1
113715,sp/so,2
122440,so/sx,1
127444,so/sx,1
154785,sp/so,1
155880,sx/so,1
156015,sp/so,1
164838,sp/so,2
169851,sp/so,1
175820,sx/so,1
180225,sx/sp,1
194316,so/sx,1
208020,sp/so,1
224380,sp/so,1
518129,so/sp,1
18407,sp/sx,1
62002,sx/so,1
62005,sp/sx,1
62017,sp/so,1
63280,sx/so,1
63281,sp/so,2
64828,sx/so,1
64830,sp/so,1
64928,sx/so,1
65134,so/sp,1
65400,so/sp,1
65486,sp/sx,1
65825,sp/sx,1
65826,sp/so,1
65847,sp/so,1
65848,so/sp,1
66560,sp/sx,1
67734,sp/so,1
68410,sp/sx,1
68863,sx/so,2
70067,sp/so,2
70908,sp/so,1
70914,sx/so,1
70956,sx/so,1
70959,sp/so,1
71070,sp/sx,1
73141,sx/sp,2
73154,sp/so,1
73169,sx/so,1
73333,sx/sp,1
73338,sx/so,1
73346,sp/so,1
73616,so/sx,1
73804,so/sp,1
73821,so/sp,2
74326,sp/sx,1
74337,so/sx,1
74344,so/sp,2
74352,sp/so,1
74645,sp/so,1
75884,sp/sx,1
75898,so/sp,1
76273,so/sp,1
77903,sp/sx,2
86095,sp/so,1
86211,sp/so,1
98625,sp/so,1
102095,sx/so,1
105378,sx/so,1
105733,sx/so,1
106841,sp/so,1
111889,sp/sx,1
117463,sp/sx,1
121777,sp/so,1
127441,so/sx,1
155759,sp/so,1
158455,sp/so,1
159912,so/sx,1
163374,sx/so,1
168528,sp/so,1
172445,sx/sp,1
178854,sp/so,1
181356,sp/sx,1
181864,sp/so,1
182035,so/sx,1
182442,sx/so,1
182683,so/sx,1
183336,sp/so,1
184247,sp/so,2
196727,sp/so,1
200283,sp/so,1
201372,sp/so,1
208527,so/sx,1
210642,so/sx,1
212573,sp/so,1
218527,sp/so,1
220763,so/sp,1
222255,sx/so,1
223573,sp/so,1
225831,sp/so,1
232923,so/sp,1
322917,sp/so,1
361938,so/sp,1
420035,sp/so,1
424991,sp/so,1
765356,sx/so,1
10145,sp/sx,1
57003,sp/so,1
57009,sp/so,1
57639,sp/so,1
62000,sx/so,2
62016,so/sp,1
63321,sp/so,1
64829,sp/sx,1
64834,so/sx,1
65082,sp/so,1
65280,sp/so,1
65470,sx/so,1
65846,sp/so,1
65995,sx/sp,1
