31023,RCOEN,5
25299,SCOEI,3
40744,RCUEI,2
87393,RCOEI,6
10139,SCOEN,2
378,RCUEN,1
10143,RCOEI,1
65862,RCUEI,1
23258,RCOAN,2
20047,SCUAI,2
71677,RCOAN,2
10140,SCOEI,1
63315,SLUEI,1
95998,RCOAN,1
206718,SCOAI,1
63320,SCUAI,1
424991,SLUAN,1
474258,RLOEN,1
449,SLUEN,228
70,SCOAI,106
2304,SCOAN,61
330,RCOAI,58
312,SCUEI,20
71,SLUEN,18
343,RLOAI,15
345,RCOAN,31
315,SCUEN,26
321,SCOEI,26
74,SCUEN,35
72,SLUEI,20
75,RCOAI,21
311,SLOEN,17
77,RLOEN,20
73,RLOAN,8
319,RLOEI,9
344,RLOEI,13
339,SLUEN,10
313,SCOAN,13
314,SLOEN,11
342,RCOAI,8
317,RLOEN,9
340,RLOEI,7
328,SCOAI,8
76,SCOAN,3
335,RCOEI,2
318,RCOAI,2
316,RLOEN,5
320,SCOAN,1
341,RLUAI,1
329,RLOEN,2
323,RCOAN,2
322,SCOAN,4
333,RCOAN,1
10291,RCOAI,109
608,RCUAI,73
288397,RCOAI,136
155318,SLOAI,134
43014,SCUAN,29
965,RLOAI,43
16722,SCUAI,42
970,SCUAI,37
151,SCUEI,39
97,SLOAI,47
14643,SLUEN,75
20191,RCOEI,13
108,RCOEI,46
3820,RCUEI,25
43105,SCOEI,19
19314,RCOAI,35
1740,RCUEI,37
1001,SLUEI,51
1861,SCOAN,44
1006,SLOAN,38
1746,RCUEI,46
9726,RLUEI,46
96,SLOEN,56
10686,SLOAI,36
567786,RLOAI,19
971,SLOAI,27
978,SLUAI,28
52937,SLOAI,25
20289,RLOEI,21
923,SCOAI,17
52942,RCOAI,20
16694,SCUEI,14
135,RCOEI,29
6473,RLUAI,46
27346,RLUAI,15
4778,RCUAI,37
3226,SLUAI,18
969,RCOAN,24
463,RCUEN,25
1048,RCUAN,20
16990,SLUAI,32
9260,RCUAI,9
452,SLUAI,23
130,SLUEI,23
29749,SLOAI,26
3821,SCUAI,13
988,SCOAI,19
1370,RLUEI,18
16085,SCUAI,13
13807,RCUEI,24
8841,SLUAI,7
3110,SCUAI,11
22723,SLUAI,20
1755,SCOAI,20
17508,RLOAI,20
980,SCOAI,17
24993,RLUAI,26
11070,SCUAI,15
434,RCUEN,20
23910,SCUAI,13
16717,RCOAI,10
589,SCOAI,12
461,RCUAI,10
35388,SCOEI,16
20202,SLUEI,25
9737,SCUAN,9
20266,RCOAI,10
16157,SCUAI,9
25515,RCOAI,3
42879,SLUAI,15
16695,RLUAN,11
1042,SCUEI,8
2712,SCUAI,7
779,SLUAN,14
16123,SCUAI,7
922,RCUAN,9
1745,SCUAI,18
19921,SCUAN,2
470,SCOAI,6
12439,SCUAI,11
1017,RCOEI,11
1766,RCOEN,25
2529,SCUEI,11
3550,RLUEI,15
6935,SCUAI,10
16125,SCUAI,8
29442,SLUAI,11
25330,SCOAN,14
8618,SCUAN,7
28470,RLUEI,15
610,SCUEN,16
8005,SCUAI,8
16149,SLUEI,3
1035,RCOAI,4
960,RLUAI,20
4170,RCUAI,12
2704,SCUEI,11
10455,SCUAI,13
11599,SCOAN,2
6491,SCOEI,13
8620,SLOEN,7
1371,RCUEI,8
20366,SCUAI,5
21187,SCOAN,4
133,SCUAN,12
5941,SCOAI,6
1028,SCOAN,15
4945,SLUAI,7
39109,RCOAI,13
25479,SLUEI,6
8847,SCUEI,10
42827,RCUAI,9
967,SCOEI,6
136,SLUAI,6
13086,RLOEI,6
16693,SCOAN,8
2099,SCUEI,5
10867,RCOAN,5
9852,RLOAI,6
127219,SCUAN,8
1026,RCOAN,6
3135,RLUAN,10
11033,SLUEI,2
16710,SCOAN,10
1054,SCOAI,7
12473,SCUAI,8
1052,SCUAI,9
2309,SCOAI,7
8815,SCUAI,8
33143,SLUEN,7
793,RCUAI,8
2977,RCUEI,16
22592,SCUEI,5
2488,RLOEN,8
81146,SCOAN,1
472,SLUAN,9
2921,RCUAN,5
20952,SLUEI,6
30285,SCUAI,11
3068,SLUEN,11
11673,SCOAI,10
12333,RLOAI,3
24705,SLUEI,5
9261,SCOAI,15
856,SLOEI,13
23477,RCOAI,6
19843,RCOAI,9
103787,SCUEI,3
10131,SCOEI,10
40338,SLOEI,6
27109,SCOAI,11
48978,SLUAI,10
22499,SCUAI,5
18632,SCUAI,18
993,SCOAN,2
2303,SCUAI,5
37571,SLOAN,1
14694,SCOAI,6
23611,RCUAI,8
25838,RCUAI,6
15528,SCUAI,5
13926,SCUAI,2
1018,RCOAI,7
3818,SCUEI,3
27169,SCUAN,5
35121,RCOAI,16
242621,RCUAI,5
14696,RLUEN,5
22625,SLUAI,10
16732,SLUAI,4
989,SCUAN,2
16084,SCUAI,10
96848,SLUEI,5
13051,SLOEN,7
36557,SLOEN,9
74072,RLOAI,6
13927,RCUAI,3
35640,SCUAN,3
41634,SCUAI,4
137,SCOAI,4
5806,SCOAI,3
22291,RCOAI,3
9109,SCOAI,10
11708,SCUAI,4
12664,SLOAI,5
62920,SCUEI,2
11998,SCUEN,3
21565,RCUEN,6
451,SLOAI,6
1061,RLOAI,3
20307,RCOAN,7
12474,SCUAI,6
315063,SLUAI,5
964,SLUAI,8
10153,SCOAN,7
19307,SCOAN,1
23674,RCOAI,5
1399,SCUAI,7
287677,RCOEI,2
20287,RCUEN,7
15624,RCOAI,4
11816,RCOAN,8
23612,RCOAI,2
194846,SLOAI,10
1037,SCUAN,4
20739,SLUAI,6
22610,SCUAI,5
483144,RLUAI,9
41856,SCOAI,1
23651,RLUEI,7
981,RCUAI,3
1080,SCUEI,2
131784,SCOAI,6
16704,SCOAI,5
13087,RCOEI,4
23161,SCUAI,6
42452,SCOAI,4
20951,RLUAI,4
129,SCUAI,4
33310,RLOAN,3
10457,SCOAI,6
20950,RCUAI,3
953,RCUAI,6
47821,RCOAN,6
74088,SLUAI,5
8844,RCUEI,9
20427,SCUEI,6
1053,RLUAN,4
10878,SCUEI,3
98731,SLOEN,12
19310,RCOEI,3
22500,SCOAI,3
49090,SCOAI,2
96165,SCUAI,3
3816,RCUAN,3
13050,SLOAI,3
26224,SLOAI,7
32766,SCOEI,2
50368,SCUAI,2
1009,SCUAN,4
175609,SCOAI,2
192410,RCUAI,1
14547,SLUAI,4
16124,SCUAI,2
33596,SCUEI,5
36639,SLUEN,6
22292,SLUAI,2
1022,RCOAN,9
3151,SCUAN,4
9294,RCOEI,6
5461,RCOAI,2
7847,RCOEN,2
10032,RCOAN,2
20434,SLUEI,3
53974,SCUAI,4
74066,SCUAI,5
9264,RLUAI,2
10157,SCOEN,7
45155,SCUAN,3
49116,SLOAN,1
11313,SCOAI,6
13924,SCOAN,4
58338,SCOAI,6
75832,RCOAN,1
5467,SCOAI,1
21284,SCUEI,5
28273,RLUEI,10
50585,SLUAN,11
9802,SCOAI,1
14849,SCUAI,4
16260,SCUAI,1
22509,RLUAN,1
38266,SLUAI,1
48408,RCUAI,1
13921,SLOEI,2
72040,RCUAI,1
105141,RCOAI,7
5460,RCUAI,2
16261,SCUEI,6
80455,RCOEI,5
12001,SCOEI,4
33323,RLUAI,5
4825,RCUAI,3
155747,RCUAN,3
3817,RLOAN,3
34022,SCOEN,4
1030,RCOAN,2
41635,SCUAI,11
320310,RCUAN,9
6217,SCOAI,1
14937,SCOAI,1
21059,SCOAI,3
22598,RCOEI,6
23916,RCUEI,2
43585,RCOAN,7
3486,RLOAN,1
23289,SCOAI,3
1586,RCOEI,3
15529,RLUAN,4
25899,SLUEI,3
65731,RLUAI,8
19924,SLUAI,6
38735,SCOAN,3
127863,RLOAI,1
20364,RCUAI,1
49332,SCOAI,5
160693,RCOAI,2
215944,RCUAI,1
34259,SCOAN,2
49108,RCOAI,2
20439,SLUAI,3
48640,SCOAI,1
56997,RLOAI,2
9018,RLUEN,6
13915,SCUEI,2
3098,SLOEN,2
27901,SLOAI,1
8006,RCUEI,2
20401,RCOAI,2
39761,SCOAI,3
54847,SLOAI,3
138905,RLOAI,1
171031,RLUEI,4
194842,SLUAI,5
