id,classic_jungian,classic_jungian_total_voted
25886,EN(T),1
34161,IS(T),1
65030,EF(N),2
19578,ES(F),2
22617,EN(F),3
8842,ES(F),1
10875,ET(N),1
22146,EN(T),2
31772,EF(S),1
351348,EN(F),1
540666,IS(F),6
661164,IF(N),3
16791,IN(F),2
48610,ES(T),4
85665,EN(F),3
112569,IF(S),1
19309,IN(F),4
20284,ET(N),1
22866,IF(N),1
22551,EF(N),2
22614,EF(N),1
34017,IF(N),1
35516,ES(F),1
20423,IN(F),1
26760,IN(F),3
28595,IT(S),3
34287,ES(F),1
44704,ES(T),1
68742,IF(S),1
83959,EN(T),3
10759,IN(T),1
38772,EF(S),3
180841,ES(F),4
20849,ES(T),3
20854,IF(N),2
33554,EN(F),1
60979,EN(F),1
63195,EN(F),2
334876,EN(T),3
353087,ES(F),1
33620,EN(F),2
41013,IN(T),2
42427,ES(F),1
66549,EN(F),1
81938,IN(T),1
118421,IN(T),1
141727,IT(S),2
156628,EN(F),1
17524,EN(T),2
20290,ET(N),1
33444,ET(N),2
89752,IN(F),2
12217,EN(T),2
19842,EN(F),2
40886,ET(S),1
97653,IN(F),2
231563,EF(N),1
298096,EF(N),1
449915,IS(F),3
20301,ES(F),5
11798,ES(T),1
23948,EF(S),4
213570,EF(N),8
59677,IF(N),1
188242,IN(F),3
256561,EN(T),3
20288,IS(T),1
27747,ET(S),2
33613,ES(T),2
53155,EF(N),3
105100,IN(F),1
89233,EN(F),2
126462,ES(F),1
11969,ET(N),2
16988,EN(F),1
256774,IF(N),1
515798,ES(F),3
22533,EN(F),2
29795,IF(N),1
88394,ES(F),1
97190,IF(S),1
104107,EN(F),3
149429,EN(F),1
414405,EF(N),4
22612,EF(S),1
24260,IF(N),1
248943,IS(T),1
23613,IF(S),4
32569,IT(S),1
11707,IS(T),1
32146,EN(T),1
122827,IF(S),1
34085,EF(N),2
42945,ES(T),1
58352,EF(S),1
16294,ES(F),1
33663,ET(N),2
61173,ET(S),1
